Name;Hauptstadt;Einwohner;Flaeche
Baden-Württemberg;Stuttgart;11,1 Mio.;35.751
Bayern;München;13,1 Mio.;70.542
Berlin;Berlin;3,7 Mio.;892
Brandenburg;Potsdam;2,5 Mio.;29.654
Bremen;Bremen;0,7 Mio.;419
Hamburg;Hamburg;1,9 Mio.;755
Hessen;Wiesbaden;6,3 Mio.;21.115
Mecklenburg-Vorpommern;Schwerin;1,6 Mio.;23.211
Niedersachsen;Hannover;8 Mio.;47.710
Nordrhein-Westfalen;Düsseldorf;17,9 Mio.;34.110
Rheinland-Pfalz;Mainz;4,1 Mio.;19.854
Saarland;Saarbrücken;0,9 Mio.;2.570
Sachsen-Anhalt;Magdeburg;2,2 Mio.;20.452
Sachsen;Dresden;4,1 Mio.;18.450
Schleswig-Holstein;Kiel;2,9 Mio.;15.800
Thüringen;Erfurt;2,1 Mio.;16.202
